Jurisdiction,V_Dem_Country
United States,United States
United Kingdom,United Kingdom
Korea,South Korea
Chinese Taipei,Taiwan
Hong Kong SAR,China
Macau SAR,China
Russia,Russia
North Macedonia,North Macedonia
Albania,Albania
Algeria,Algeria
Angola,Angola
Argentina,Argentina
Australia,Australia
Austria,Austria
Azerbaijan,Azerbaijan
Bangladesh,Bangladesh
Belarus,Belarus
Belgium,Belgium
Bermuda,Bermuda
Bolivia,Bolivia
Bosnia and Herzegovina,Bosnia and Herzegovina
Brazil,Brazil
Bulgaria,Bulgaria
Cambodia,Cambodia
Canada,Canada
Chile,Chile
China,China
Colombia,Colombia
Costa Rica,Costa Rica
Croatia,Croatia
Cuba,Cuba
Cyprus,Cyprus
Czech Republic,Czechia
Denmark,Denmark
Dominican Republic,Dominican Republic
Ecuador,Ecuador
Egypt,Egypt
El Salvador,El Salvador
Estonia,Estonia
Ethiopia,Ethiopia
Fiji,Fiji
Finland,Finland
France,France
Georgia,Georgia
Germany,Germany
Ghana,Ghana
Greece,Greece
Guatemala,Guatemala
Honduras,Honduras
Hungary,Hungary
Iceland,Iceland
India,India
Indonesia,Indonesia
Iran,Iran
Ireland,Ireland
Israel,Israel
Italy,Italy
Ivory Coast,Ivory Coast
Jamaica,Jamaica
Japan,Japan
Jordan,Jordan
Kazakhstan,Kazakhstan
Kenya,Kenya
Kosovo,Kosovo
Kuwait,Kuwait
Laos,Laos
Latvia,Latvia
Lebanon,Lebanon
Liberia,Liberia
Liechtenstein,Liechtenstein
Lithuania,Lithuania
Luxembourg,Luxembourg
Malaysia,Malaysia
Malta,Malta
Mauritania,Mauritania
Mauritius,Mauritius
Mexico,Mexico
Moldova,Moldova
Monaco,Monaco
Mongolia,Mongolia
Montenegro,Montenegro
Morocco,Morocco
Mozambique,Mozambique
Myanmar,Myanmar
Namibia,Namibia
Nepal,Nepal
Netherlands,Netherlands
New Zealand,New Zealand
Nicaragua,Nicaragua
Nigeria,Nigeria
Norway,Norway
Oman,Oman
Pakistan,Pakistan
Panama,Panama
Paraguay,Paraguay
Peru,Peru
Philippines,Philippines
Poland,Poland
Portugal,Portugal
Qatar,Qatar
Romania,Romania
Rwanda,Rwanda
San Marino,San Marino
Saudi Arabia,Saudi Arabia
Senegal,Senegal
Serbia,Serbia
Singapore,Singapore
Slovakia,Slovakia
Slovenia,Slovenia
South Africa,South Africa
Spain,Spain
Sri Lanka,Sri Lanka
Sweden,Sweden
Switzerland,Switzerland
Syria,Syria
Tanzania,Tanzania
Thailand,Thailand
Togo,Togo
Trinidad and Tobago,Trinidad and Tobago
Tunisia,Tunisia
Turkey,Turkey
Uganda,Uganda
Ukraine,Ukraine
United Arab Emirates,United Arab Emirates
Uruguay,Uruguay
Venezuela,Venezuela
Vietnam,Vietnam
Zambia,Zambia
Zimbabwe,Zimbabwe