Jurisdiction,FSB,BCBS,CPMI,IADI,IAIS,IOSCO,IOPS,BIS,NGFS,IFRS,EBA,EIOPA,ESMA,ESRB,SSB,CEBS,CEIOPS,CESR
Albania,,,,X,X,X,X,,X,X,,,,,,,,
Algeria,,,,,,X,,,X,X,,,,,,,,
Angola,,,,,,X,,,X,X,,,,,,,,
Argentina,X,X,X,X,X,X,X,X,X,X,,,,,,,,
Australia,X,X,X,X,X,X,X,X,X,X,,,,,,,,
Austria,,,,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X
Azerbaijan,,,,X,X,,X,,X,X,,,,,,,,
Bangladesh,,,,X,X,X,X,,X,X,,,,,,,,
Belarus,,,,X,X,,X,,X,X,,,,,,,,
Belgium,,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X
Bermuda,,,,,,X,,,,X,,,,,,,,
Bolivia,,,,,,X,,,X,X,,,,,,,,
Bosnia and Herzegovina,,,,X,X,,X,X,X,X,,,,,,,,
Brazil,X,X,X,X,X,X,X,X,X,X,,,,,,,,
Bulgaria,,,,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X
Cambodia,,,,,,X,,,X,X,,,,,,,,
Canada,X,X,X,X,X,X,X,X,X,X,,,,,,,,
Chile,,,,X,X,X,X,X,X,X,,,,,,,,
China,X,X,X,X,X,X,X,X,X,X,,,,,,,,
Chinese Taipei,,,,X,,X,X,,X,X,,,,,,,,
Colombia,,,,X,X,X,X,X,X,X,,,,,,,,
Costa Rica,,,,,,X,X,,X,X,,,,,,,,
Croatia,,,,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X
Cuba,,,,,,X,,,X,,,,,,,,
Cyprus,,,,X,X,X,,X,X,X,X,X,X,X,X,X,X,X,X
Czech Republic,,,,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X
Denmark,,,,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X
Dominican Republic,,,,,,X,X,,X,X,,,,,,,,
Ecuador,,,,X,X,X,X,,X,X,,,,,,,,
Egypt,,,,X,X,X,,X,X,X,,,,,,,,
El Salvador,,,,,,X,,X,X,X,,,,,,,,
Estonia,,,,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X
Ethiopia,,,,,,X,,,X,X,,,,,,,,
European Central Bank,X,X,X,,,,X,X,,X,X,X,X,X,X,X,X
European Commission,X,,,,,,,,X,X,X,X,X,X,X,X,X
European Union,,X,,,,,,,X,X,X,X,X,X,X,X,X,X
Fiji,,,,,,X,,,X,X,,,,,,,,
Finland,,,,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X
France,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X
Georgia,,,,X,X,X,X,,X,X,,,,,,,,
Germany,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X
Ghana,,,,X,X,X,X,,X,X,,,,,,,,
Greece,,,,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X
Guatemala,,,,,,X,X,,X,X,,,,,,,,
Honduras,,,,,,X,,X,X,X,,,,,,,,
Hong Kong SAR,X,X,X,X,X,X,X,X,X,X,,,,,,,,
Hungary,,,,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X
Iceland,,,,X,X,X,X,X,X,X,X,X,X,X,,,,,,
India,X,X,X,X,X,X,X,X,X,X,,,,,,,,
Indonesia,X,X,X,X,X,X,X,X,X,X,,,,,,,,
Iran,,,,,,X,,,X,X,,,,,,,,
Ireland,,,,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X
Israel,,,,X,X,X,X,X,X,X,,,,,,,,
Italy,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X
Ivory Coast,,,,,,X,,,X,X,,,,,,,,
Jamaica,,,,,,X,,,X,X,,,,,,,,
Japan,X,X,X,X,X,X,X,X,X,X,,,,,,,,
Jordan,,,,X,X,X,X,,X,X,,,,,,,,
Kazakhstan,,,,X,X,X,X,,X,X,,,,,,,,
Kenya,,,,X,X,X,X,,X,X,,,,,,,,
Korea,X,X,X,X,X,X,X,X,X,X,,,,,,,,
Kosovo,,,,X,,,,X,X,,,,,,,,
Kuwait,,,,X,X,X,,X,X,X,,,,,,,,
Laos,,,,,,X,,,X,,,,,,,,
Latvia,,,,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X
Lebanon,,,,X,X,X,X,,X,X,,,,,,,,
Liberia,,,,,,X,,,X,X,,,,,,,,
Liechtenstein,,,,X,X,X,,X,X,X,X,X,X,X,,,,,,
Lithuania,,,,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X
Luxembourg,,X,,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X
Macau SAR,,,,,,X,,,X,,,,,,,,
Malaysia,,,,X,X,X,X,X,X,X,,,,,,,,
Malta,,,,X,X,X,X,,X,X,X,X,X,X,X,X,X,X,X
Mauritania,,,,X,,,,X,X,,,,,,,,
Mauritius,,,,X,X,X,X,,X,X,,,,,,,,
Mexico,X,X,X,X,X,X,X,X,X,X,,,,,,,,
Moldova,,,,X,X,X,X,,X,X,,,,,,,,
Monaco,,,,,,X,X,,X,X,,,,,,,,
Mongolia,,,,,,X,X,,X,X,,,,,,,,
Montenegro,,,,X,X,X,X,,X,X,,,,,,,,
Morocco,,,,X,X,X,X,X,X,X,,,,,,,,
Mozambique,,,,,,X,,,X,X,,,,,,,,
Myanmar,,,,,,X,,,X,X,,,,,,,,
Namibia,,,,,,X,,,X,X,,,,,,,,
Nepal,,,,,,X,X,,X,X,,,,,,,,
Netherlands,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X
New Zealand,,,,X,X,X,X,X,X,X,,,,,,,,
Nicaragua,,,,,,X,,,X,X,,,,,,,,
Nigeria,,,,X,X,X,X,,X,X,,,,,,,,
North Macedonia,,,,X,X,X,X,X,X,X,,,,,,,,
Norway,,,,X,X,X,X,X,X,X,X,X,X,X,,,,,,
Oman,,,,X,X,X,X,,X,X,,,,,,,,
Pakistan,,,,X,X,X,X,,X,X,,,,,,,,
Panama,,,,X,X,X,X,,X,X,,,,,,,,
Paraguay,,,,,,X,X,,X,X,,,,,,,,
Peru,,,,X,X,X,X,X,X,X,,,,,,,,
Philippines,,,,X,X,X,X,X,X,X,,,,,,,,
Poland,,,,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X
Portugal,,,,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X
Qatar,,,,X,X,X,X,,X,X,,,,,,,,
Romania,,,,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X
Russia,X,X,X,X,X,X,X,X,X,X,,,,,,,,
Rwanda,,,,,,X,,,X,X,,,,,,,,
San Marino,,,,X,X,X,,X,X,X,,,,,,,,
Saudi Arabia,X,X,X,X,X,X,X,X,X,X,,,,,,,,
Senegal,,,,,,X,,,X,X,,,,,,,,
Serbia,,,,X,X,X,X,X,X,X,,,,,,,,
Singapore,X,X,X,X,X,X,X,X,X,X,,,,,,,,
Slovakia,,,,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X
Slovenia,,,,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X
South Africa,X,X,X,X,X,X,X,X,X,X,,,,,,,,
Spain,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X
Sri Lanka,,,,X,X,X,X,,X,X,,,,,,,,
Sweden,,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X
Switzerland,X,X,X,X,X,X,X,X,X,X,,,,,,,,
Syria,,,,,,X,,,X,X,,,,,,,,
Tanzania,,,,X,X,X,X,,X,X,,,,,,,,
Thailand,,,,X,X,X,X,X,X,X,,,,,,,,
Togo,,,,,,X,,,X,X,,,,,,,,
Trinidad and Tobago,,,,,,X,,,X,X,,,,,,,,
Tunisia,,,,X,X,X,X,,X,X,,,,,,,,
Turkey,X,X,X,X,X,X,X,X,X,X,,,,,,,,
Uganda,,,,X,X,,X,,X,X,,,,,,,,
Ukraine,,,,X,X,X,X,,X,X,,,,,,,,
United Arab Emirates,,,,X,X,X,X,X,X,X,,,,,,,,
United Kingdom,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X
United States,X,X,X,X,X,X,X,X,X,X,,,,,,,,
Uruguay,,,,X,X,X,X,,X,X,,,,,,,,
Venezuela,,,,X,X,X,X,,X,X,,,,,,,,
Vietnam,,,,X,X,X,X,,X,X,,,,,,,,
Zambia,,,,,,X,X,,X,X,,,,,,,,
Zimbabwe,,,,,,X,,,X,X,,,,,,,,